Player,Position,Nation,Age,Team,90s Played,Save %,Position,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Rodolfo Cota,GK,MEX,36.0,Leon,32.0,69.3,GK,32.0,32.0,1.41,127.0,83.0,12.0,21.9,0.0,41.7,0.29,-0.07,36.5,31.9,6.1,1.03,13.8,0.38,1.3,2.59,3.97,0.36,,0.0,0.0,0.0,0.0,20.0,0.06,0.0,100.0,79.0,99.1,98.5,54.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.59,22.47,595.19,415.25,0.0,0.0,0.0,0.0,0.0,30.47,0.03,16.94,53.22
Luis Ángel Malagón,GK,MEX,26.0,America,28.5,76.7,GK,29.0,29.0,0.77,90.0,68.0,18.0,44.8,0.0,29.6,0.32,0.27,36.4,35.2,4.3,0.39,11.8,0.63,1.04,2.39,3.16,0.24,,0.0,0.0,0.0,0.0,0.0,0.04,0.0,100.0,74.3,98.9,99.3,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,1.37,21.58,599.58,440.81,0.04,0.0,0.0,0.07,0.0,30.63,0.0,15.4,38.46
Oscar Jiménez,GK,MEX,34.0,America,5.5,84.6,GK,6.0,5.0,0.73,26.0,22.0,4.0,60.0,0.0,7.0,0.27,0.54,37.5,30.8,1.7,0.36,12.3,0.73,1.27,4.0,4.73,0.15,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,81.9,100.0,100.0,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,23.09,537.09,433.45,0.0,0.0,0.0,0.0,0.0,30.18,0.0,17.82,48.18
Julio José González,GK,MEX,32.0,Pumas UNAM,34.0,76.6,GK,34.0,34.0,1.18,137.0,97.0,15.0,35.3,20.0,39.1,0.23,0.03,42.5,35.2,8.1,1.56,15.4,0.44,1.15,2.85,4.03,0.29,,0.0,0.0,0.0,0.0,0.0,0.35,0.06,100.0,72.4,98.3,98.4,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.06,0.0,1.5,22.79,705.85,558.32,0.09,-0.0,0.0,0.0,0.0,34.79,0.0,15.5,54.26
José Rangel Aguilar,GK,MEX,23.0,Guadalajara,18.2,79.2,GK,19.0,19.0,0.99,72.0,54.0,10.0,31.6,0.0,18.9,0.22,0.05,36.0,30.8,8.0,0.72,12.2,0.55,1.04,2.97,3.96,0.25,,0.0,0.0,0.0,0.0,0.0,0.33,0.0,90.9,76.6,100.0,97.1,47.2,100.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.05,1.37,23.52,620.66,443.9,0.0,0.0,0.0,0.16,0.0,32.97,0.05,19.34,47.69
Miguel Jiménez Ponce,GK,MEX,33.0,Guadalajara,15.8,75.0,GK,16.0,15.0,1.33,68.0,46.0,7.0,33.3,20.0,22.6,0.26,0.1,33.9,35.8,2.0,0.69,15.5,0.44,1.43,2.91,4.3,0.31,,0.0,0.0,0.0,0.01,100.0,0.06,0.0,100.0,68.9,100.0,99.3,41.4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.01,18.48,535.06,395.51,0.06,-0.01,0.0,0.19,0.0,29.43,0.0,13.92,40.63
Carlos Acevedo,GK,MEX,27.0,Santos Laguna,22.3,71.9,GK,23.0,23.0,1.71,114.0,75.0,7.0,21.7,14.3,39.3,0.3,0.06,37.1,33.1,3.2,0.76,12.8,0.31,1.76,3.36,5.11,0.33,,0.0,0.0,0.0,0.0,0.0,0.18,0.0,80.0,71.5,97.4,96.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.94,20.72,565.74,402.74,0.04,0.0,0.0,0.0,0.0,31.84,0.0,15.61,40.09
Gibran Lajud,GK,MEX,29.0,Santos Laguna,9.0,64.6,GK,9.0,9.0,2.11,48.0,29.0,3.0,11.1,0.0,14.9,0.27,-0.45,26.3,43.5,4.3,0.67,13.4,0.33,1.66,3.22,5.33,0.4,,0.0,0.0,0.0,0.0,0.0,0.22,0.0,100.0,55.1,100.0,98.2,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.22,13.89,452.11,360.33,0.0,0.0,0.0,0.0,0.0,28.56,0.0,11.56,43.33
Andrés Sánchez,GK,MEX,25.0,Atletico,24.0,64.1,GK,24.0,24.0,1.87,117.0,72.0,7.0,16.7,0.0,37.9,0.31,-0.3,34.4,26.7,4.2,1.0,13.6,0.29,1.58,3.0,4.88,0.38,,0.0,0.0,0.0,0.0,33.3,0.12,0.0,90.0,83.0,100.0,97.6,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,1.54,25.38,534.71,364.79,0.0,0.0,0.0,0.0,0.0,33.88,0.0,16.67,43.83
Diego Urtiaga,GK,MEX,24.0,Atletico,10.0,72.5,GK,10.0,10.0,1.6,51.0,35.0,5.0,30.0,0.0,16.8,0.3,0.08,36.8,30.0,1.9,0.1,9.1,0.5,1.68,3.5,5.1,0.31,,0.0,0.0,0.0,0.0,0.0,0.3,0.0,100.0,82.6,100.0,97.3,51.9,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.2,25.2,549.9,395.5,0.0,0.0,0.0,0.1,0.0,33.2,0.0,16.2,44.8
