Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Adonis Frías,Leon,DF,MF,ARG,25.0,30.2,0.0,0.03,0.09,0.01,61.7,1.32,0.07,70.2,83.8,86.3,92.3,61.7,71.4,0.17,0.0,0.0,0.08,0.11,0.03,0.6,4.47,0.03,1.16,1.13,4.44,39.77,814.87,313.64,0.4,0.02,0.13,0.1,0.43,57.91,0.46,34.07,110.89
Alan Medina,Leon,FW,MF,URU,25.0,10.5,0.19,0.0,0.15,0.2,42.4,4.48,0.19,30.8,68.0,77.7,77.4,51.9,59.4,0.48,0.11,0.4,0.08,0.35,0.19,5.05,4.76,0.0,0.38,1.52,6.0,26.29,580.76,205.14,2.19,-0.2,0.29,1.33,4.57,49.43,3.05,30.29,74.57
Alfonso Alvarado,Leon,MF,FW,MEX,23.0,16.5,0.24,0.06,0.19,0.03,50.0,2.12,0.12,40.0,75.0,83.2,76.4,65.7,55.6,1.15,0.1,0.21,0.08,0.22,0.3,3.45,2.67,0.0,0.48,0.61,2.73,16.18,262.67,60.06,0.42,0.03,0.12,0.3,0.61,31.64,1.64,19.15,40.67
Andrés Guardado,Leon,MF,DF,MEX,36.0,5.3,0.0,0.0,0.01,0.06,75.0,3.22,0.19,42.9,83.9,96.5,92.7,67.7,50.0,0.0,0.0,0.0,0.02,0.07,0.0,0.75,5.28,0.0,1.7,0.38,8.11,43.21,911.7,283.4,1.51,-0.06,0.0,0.75,1.51,59.81,1.13,35.28,94.91
Edgar Guerra,Leon,MF,FW,COL,22.0,9.2,0.11,0.11,0.17,0.1,40.0,3.7,0.33,58.8,77.5,83.9,86.4,55.2,50.0,0.76,0.06,0.14,0.09,0.27,0.22,7.07,1.85,0.0,0.54,0.65,4.46,18.7,331.74,85.0,1.09,0.01,0.0,0.11,1.74,39.67,5.87,26.74,111.85
Elías Hernández,Leon,MF,FW,MEX,35.0,14.5,0.0,0.35,0.08,0.2,54.2,3.66,0.41,36.4,76.5,87.5,83.7,55.9,42.9,0.41,0.0,0.0,0.05,0.28,0.35,5.66,4.76,0.0,0.41,1.03,6.62,36.21,686.69,223.45,2.14,0.15,0.28,0.48,5.79,56.14,2.41,33.03,76.07
Federico Viñas,Leon,FW,,URU,25.0,25.0,0.56,0.12,0.46,0.16,66.7,3.8,0.44,49.4,65.2,71.5,71.9,52.2,55.8,1.52,0.13,0.32,0.11,0.56,0.68,3.96,2.24,0.0,0.24,0.76,2.92,11.64,171.4,45.72,1.56,-0.04,0.08,0.0,0.04,29.84,2.08,17.04,33.08
Fidel Ambríz,Leon,MF,,MEX,20.0,15.8,0.13,0.0,0.11,0.09,38.6,2.09,0.19,56.9,86.1,90.5,90.7,77.4,71.4,0.57,0.06,0.22,0.05,0.2,0.13,1.01,3.99,0.0,0.76,1.27,6.2,40.82,745.51,198.04,1.01,-0.09,0.19,0.25,0.32,58.04,1.33,32.53,77.97
Gonzalo Nápoli,Leon,MF,FW,URU,23.0,6.4,0.0,0.16,0.04,0.09,53.3,3.0,0.32,26.7,81.1,89.1,84.7,63.9,45.5,0.79,0.0,0.0,0.04,0.12,0.16,3.12,3.12,0.16,0.78,1.41,3.75,33.59,565.16,188.28,1.56,0.06,0.16,0.16,2.34,54.22,1.72,31.41,63.44
Iván Moreno,Leon,DF,MF,MEX,25.0,17.5,0.06,0.17,0.05,0.09,43.9,2.74,0.28,38.9,78.6,89.9,76.6,56.8,31.6,0.34,0.07,0.17,0.06,0.14,0.23,7.49,4.0,0.06,0.8,1.14,4.46,40.17,604.51,219.66,1.03,0.08,0.06,0.11,3.2,62.51,2.17,33.94,97.09
Jaine Barreiro,Leon,DF,,COL,29.0,20.5,0.1,0.05,0.11,0.02,73.3,1.37,0.05,67.2,78.9,90.4,87.2,54.5,28.6,0.29,0.13,0.33,0.14,0.13,0.15,0.68,4.54,0.0,1.71,1.12,4.88,37.8,828.54,400.0,0.39,0.02,0.1,1.71,0.54,58.29,0.68,35.56,124.54
José David Ramírez,Leon,DF,MF,MEX,27.0,15.2,0.0,0.0,0.02,0.06,53.6,2.69,0.13,36.4,81.6,90.3,84.0,62.4,57.7,0.26,0.0,0.0,0.03,0.07,0.0,6.05,4.08,0.0,0.59,1.05,4.61,40.39,697.04,209.87,1.32,-0.06,0.0,0.59,2.7,58.82,1.71,33.95,96.51
José Iván Rodríguez,Leon,MF,,MEX,27.0,15.2,0.0,0.0,0.03,0.01,52.3,1.58,0.13,46.7,86.0,87.5,87.8,81.5,68.8,0.0,0.0,0.0,0.04,0.03,0.0,1.25,4.87,0.07,1.25,1.97,4.54,41.18,755.46,231.32,0.26,-0.01,0.13,0.39,0.66,57.11,1.05,31.25,71.51
Lucas Romero,Leon,MF,,ARG,29.0,10.8,0.0,0.09,0.09,0.1,38.5,3.32,0.09,64.7,86.8,90.7,91.5,72.9,58.3,0.18,0.0,0.0,0.09,0.18,0.09,1.2,6.2,0.0,0.65,1.67,5.65,55.46,983.61,312.13,1.76,0.0,0.09,0.37,0.65,71.94,1.11,45.09,88.7
Luís Cervantes,Leon,DF,,MEX,22.0,6.5,0.15,0.15,0.16,0.05,65.5,2.47,0.15,17.6,77.0,85.5,80.2,38.1,55.6,0.15,0.5,1.0,0.5,0.21,0.31,3.85,2.46,0.0,1.23,3.69,3.54,30.92,473.54,195.23,1.23,0.11,0.0,0.15,2.0,53.23,1.38,23.08,58.31
Nicolás López,Leon,FW,MF,URU,29.0,14.6,0.34,0.07,0.36,0.21,52.6,4.4,0.07,11.1,69.8,83.8,73.8,48.9,51.1,1.79,0.07,0.19,0.07,0.57,0.41,7.19,2.95,0.0,0.34,0.68,4.11,23.56,414.73,104.04,2.19,-0.14,0.0,0.41,4.93,47.81,3.22,30.68,69.73
Osvaldo Rodríguez del Portal,Leon,DF,,MEX,26.0,22.3,0.04,0.09,0.05,0.07,71.8,1.93,0.22,49.1,81.2,90.8,85.0,58.1,46.7,0.18,0.08,0.25,0.09,0.12,0.13,2.38,2.56,0.04,1.35,1.35,4.3,37.94,681.35,270.36,0.72,0.02,0.0,0.45,1.48,56.32,0.67,26.1,50.81
Paul Bellón,Leon,DF,,MEX,26.0,14.8,0.07,0.0,0.03,0.0,58.8,0.34,0.0,44.6,86.7,88.8,94.2,60.2,100.0,0.27,0.14,0.25,0.06,0.03,0.07,0.14,1.69,0.07,1.62,1.15,2.91,39.8,803.04,336.55,0.0,0.0,0.0,0.14,0.0,56.55,0.2,31.08,63.11
Rodolfo Cota,Leon,GK,,MEX,36.0,32.0,0.0,0.0,0.0,0.0,20.0,0.06,0.0,100.0,79.0,99.1,98.5,54.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.59,22.47,595.19,415.25,0.0,0.0,0.0,0.0,0.0,30.47,0.03,16.94,53.22
Sebastian Santos,Leon,MF,FW,MEX,20.0,4.4,0.0,0.0,0.25,0.01,69.2,2.04,0.23,25.0,78.6,90.8,82.0,42.9,46.2,0.91,0.0,0.0,0.08,0.26,0.0,3.41,2.95,0.0,0.91,1.82,4.77,25.0,389.55,96.14,0.45,0.0,0.0,0.23,2.05,49.32,2.95,28.41,80.45
William Tesillo,Leon,DF,,COL,33.0,20.8,0.0,0.0,0.04,0.09,51.5,1.78,0.0,61.5,72.6,86.3,81.8,49.0,34.4,0.05,0.0,0.0,0.04,0.12,0.0,2.45,3.51,0.0,1.01,0.87,5.14,41.11,872.84,415.29,0.87,-0.09,0.14,1.35,2.5,66.97,1.54,36.01,92.31
Ángel Mena,Leon,FW,MF,ECU,35.0,21.3,0.28,0.28,0.23,0.35,47.8,5.67,0.61,37.5,83.0,93.0,86.6,60.3,58.7,0.56,0.12,0.33,0.1,0.51,0.56,9.11,5.49,0.0,0.66,0.75,4.37,43.15,724.23,190.52,3.1,-0.07,0.14,0.38,5.73,61.74,2.96,40.52,133.47
