Player,Position,Nation,Age,Team,Conference,90s Played,Save %,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Drake Callender,GK,USA,26.0,Inter Miami,E,32.0,72.8,32.0,32.0,1.41,147.0,102.0,21.0,15.6,28.6,46.5,0.28,0.11,31.2,28.2,8.4,0.84,11.7,0.66,1.45,3.19,4.59,0.31,,0.0,0.0,0.0,0.0,100.0,0.03,0.0,100.0,80.8,98.5,98.4,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.03,0.03,1.41,28.19,657.19,431.69,0.0,0.0,0.0,0.06,0.0,37.06,0.0,20.84,56.31
Patrick Schulte,GK,USA,22.0,Columbus Crew,E,27.0,74.3,27.0,27.0,1.07,105.0,76.0,17.0,37.0,0.0,32.1,0.3,0.12,35.7,28.2,4.6,0.96,14.5,0.63,1.19,2.81,3.89,0.28,,0.0,0.0,0.0,0.0,50.0,0.15,0.0,100.0,81.2,99.1,96.7,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,1.93,28.44,648.81,461.7,0.0,0.0,0.0,0.04,0.0,36.67,0.0,22.67,64.81
Roman Celentano,GK,USA,23.0,FC Cincinnati,E,30.0,71.3,30.0,30.0,1.4,129.0,89.0,16.0,23.3,0.0,40.9,0.28,0.03,35.1,29.9,7.8,0.83,13.3,0.53,1.36,2.97,4.3,0.33,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,100.0,77.7,100.0,96.5,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,1.4,22.73,536.23,370.13,0.0,0.0,0.0,0.0,0.0,31.47,0.0,15.9,48.5
Mason Stajduhar,GK,USA,26.0,Orlando City,E,4.3,78.6,5.0,5.0,1.86,28.0,20.0,2.0,20.0,0.0,10.0,0.29,0.45,39.3,31.8,10.5,0.93,13.3,0.47,2.33,4.65,6.51,0.29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,100.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,18.37,464.42,384.19,0.0,0.0,0.0,0.0,0.0,25.12,0.0,10.47,36.05
Pedro Gallese,GK,PER,33.0,Orlando City,E,29.0,66.7,29.0,29.0,1.34,105.0,64.0,13.0,27.6,33.3,37.9,0.32,-0.04,39.7,33.1,5.4,1.07,15.5,0.45,1.31,2.21,3.62,0.37,,0.0,0.0,0.0,0.01,0.0,0.14,0.03,80.0,73.4,99.3,98.1,48.1,100.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.1,0.0,0.0,1.45,17.9,466.34,356.69,0.03,-0.01,0.0,0.0,0.0,26.48,0.03,12.41,48.72
Kristijan Kahlina,GK,CRO,31.0,Charlotte FC,E,34.0,76.0,34.0,34.0,1.09,154.0,116.0,14.0,35.3,100.0,47.5,0.31,0.31,36.8,30.9,6.8,1.74,16.7,0.41,1.4,3.41,4.53,0.24,,0.0,0.0,0.0,0.0,0.0,0.24,0.03,85.7,78.3,98.3,97.6,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.0,1.62,27.21,700.59,479.26,0.0,0.0,0.0,0.09,0.0,37.71,0.0,21.88,71.97
Matt Freese,GK,USA,25.0,New York City FC,E,33.1,75.2,34.0,34.0,1.36,165.0,119.0,14.0,14.7,20.0,50.5,0.29,0.17,25.9,28.4,6.8,1.0,14.6,0.42,1.53,3.6,4.98,0.27,,0.0,0.0,0.0,0.0,40.0,0.21,0.0,85.7,79.5,99.0,99.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.03,0.82,31.51,716.71,439.64,0.03,-0.0,0.0,0.03,0.0,41.72,0.0,25.23,65.26
Carlos Coronel,GK,PAR,27.0,New York Red Bulls,E,27.0,67.2,27.0,27.0,1.63,116.0,74.0,9.0,14.8,0.0,39.1,0.3,-0.11,27.9,37.8,5.7,1.26,14.1,0.33,1.45,2.74,4.3,0.38,,0.0,0.0,0.0,0.0,0.0,0.11,0.04,77.8,63.1,98.0,99.6,37.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,1.04,20.81,615.96,458.59,0.0,0.0,0.0,0.15,0.0,35.33,0.04,19.59,48.81
Ryan Meara,GK,USA,33.0,New York Red Bulls,E,7.0,60.0,7.0,7.0,0.86,15.0,9.0,2.0,42.9,0.0,5.0,0.33,-0.15,23.0,34.8,7.1,1.29,16.1,0.29,0.71,1.29,2.14,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.7,100.0,100.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.57,447.71,351.29,0.0,0.0,0.0,0.0,0.0,27.29,0.0,14.0,34.29
Jonathan Sirois,GK,CAN,22.0,CF Montreal,E,33.0,66.3,33.0,33.0,1.88,172.0,111.0,11.0,24.2,0.0,61.5,0.34,0.02,27.2,26.3,5.4,1.36,15.4,0.33,1.86,3.36,5.21,0.36,,0.0,0.0,0.0,0.0,66.7,0.06,0.0,77.8,79.4,98.9,96.5,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.12,0.0,0.03,1.76,30.42,635.24,409.27,0.0,0.0,0.0,0.06,0.0,40.82,0.0,22.91,69.36
Brad Guzan,GK,USA,39.0,Atlanta United,E,31.7,73.4,32.0,32.0,1.39,154.0,107.0,9.0,15.6,50.0,48.4,0.28,0.14,46.8,35.6,5.6,0.92,14.0,0.28,1.53,3.38,4.86,0.29,,0.0,0.0,0.0,0.0,0.0,0.19,0.03,100.0,75.5,98.1,99.5,56.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,1.17,28.42,876.34,646.18,0.06,-0.0,0.0,0.03,0.0,39.91,0.03,23.66,75.43
Alex Bono,GK,USA,29.0,DC United,E,29.0,59.4,29.0,29.0,1.9,128.0,75.0,10.0,6.9,0.0,49.9,0.37,-0.11,46.2,41.2,4.0,2.0,19.6,0.34,1.72,2.59,4.41,0.43,,0.0,0.0,0.0,0.0,66.7,0.24,0.0,100.0,62.8,98.8,96.9,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.0,0.0,1.76,22.9,852.28,745.24,0.0,0.0,0.0,0.0,0.0,38.66,0.03,21.45,53.72
Tyler Miller,GK,USA,30.0,DC United,E,5.0,55.2,5.0,5.0,3.0,29.0,14.0,0.0,0.0,0.0,10.7,0.3,-0.86,34.9,51.0,6.2,3.0,18.4,0.0,2.14,2.8,5.8,0.52,,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,45.0,100.0,100.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.2,18.2,812.8,717.6,0.0,0.0,0.0,0.0,0.0,44.0,0.0,21.2,65.6
Luka Gavran,GK,CAN,23.0,Toronto FC,E,9.0,64.0,9.0,9.0,2.0,50.0,32.0,2.0,22.2,0.0,16.5,0.33,-0.17,38.9,33.5,5.6,1.22,13.8,0.22,1.83,3.56,5.56,0.36,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,75.0,100.0,94.9,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.78,23.67,616.44,447.22,0.0,0.0,0.0,0.0,0.0,34.78,0.0,16.78,45.0
Sean Johnson,GK,USA,34.0,Toronto FC,E,25.0,65.8,25.0,25.0,1.72,111.0,69.0,9.0,24.0,0.0,40.6,0.33,-0.05,29.2,32.4,5.5,1.36,16.8,0.36,1.62,2.76,4.44,0.39,,0.0,0.0,0.0,0.0,0.0,0.12,0.0,100.0,70.9,98.6,99.4,40.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.6,24.52,621.24,439.96,0.0,0.0,0.0,0.0,0.0,37.2,0.04,19.24,47.56
Andre Blake,GK,JAM,33.0,Philadelphia Union,E,12.4,73.6,14.0,14.0,1.13,53.0,40.0,5.0,21.4,0.0,15.5,0.3,0.2,41.4,29.5,4.5,0.57,12.7,0.4,1.25,3.23,4.27,0.26,,0.0,0.0,0.0,0.0,100.0,0.08,0.0,100.0,74.6,97.3,94.7,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,1.53,17.26,476.21,355.81,0.08,0.0,0.0,0.08,0.0,25.48,0.0,13.55,46.05
Andrew Rick,GK,USA,18.0,Philadelphia Union,E,6.0,62.5,6.0,6.0,2.0,32.0,21.0,1.0,16.7,0.0,10.9,0.34,-0.02,37.4,44.0,3.8,1.0,17.8,0.17,1.82,3.5,5.33,0.38,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,55.9,100.0,96.8,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.33,15.0,559.17,451.5,0.0,0.0,0.0,0.17,0.0,29.5,0.0,12.33,51.33
Oliver Semmle,GK,GER,25.0,Philadelphia Union,E,15.6,65.4,17.0,14.0,1.85,78.0,49.0,3.0,28.6,0.0,29.3,0.36,0.02,35.4,33.7,3.4,0.77,15.8,0.19,1.88,3.14,5.0,0.37,,0.0,0.0,0.0,0.0,100.0,0.19,0.0,0.0,67.6,100.0,98.5,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,19.17,559.55,435.26,0.0,0.0,0.0,0.0,0.0,30.96,0.0,15.13,59.49
